PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
294069647,22169874,6,2022-10-20T17:05:00,"900 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1201,9,2,-79.8923529450752,40.4861185015656
294075885,22169935,6,2022-10-20T18:15:00,"3200 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",2715,1,1,-80.0311081190629,40.4757891815702
294136742,22170391,6,2022-10-21T15:30:00,"6200 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1115,8,2,-79.92259331497,40.4601393368172
294140641,22170409,0,2022-10-21T16:05:00,"Market St Pittsburgh, PA 15222",Y,Central Business District,2,99,601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,201,6,6,-80.0044622357327,40.4379182353827
294141114,22170498,10,2022-10-21T18:20:00,"600 Block Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT,2709(a) Harassment.,201,6,6,-80.0016237646793,40.4417809547139
294152496,22170693,21,2022-10-22T01:51:00,"5400 Block Baum Blvd Pittsburgh, PA 15232",Y,Bloomfield,5,DUI - GENERAL IMPAIRMENT,3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 5121 Escape. / 1501 Drivers Required to be Licensed. / 3802(a)(1) DUI - General Impairment / 1543 Driving While Operating Privilege is Suspended or Revoked.,806,7,2,-79.938502378561,40.4569440543915
294153894,22170614,0,2022-10-21T22:56:00,"3300 Block Francisco St Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2022,2,5,-80.0613040395136,40.4569629641007
291837182,22154689,0,2022-09-23T11:40:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9994 PFA Service,305,6,3,-79.9799824053927,40.4435889103074
291838830,22154688,0,2022-09-23T11:22:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9994 PFA Service,305,6,3,-79.9799824053927,40.4435889103074
291872238,22155792,99,2022-09-25T12:30:00,"Schenley Dr & Frank Curto Dr Pittsburgh, PA 15217",N,Squirrel Hill South,4,FOUND PROPERTY,9489 Found Property,1413,5,3,-79.9463562780368,40.438755741483
291884961,22155942,29,2022-09-25T18:40:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1303,9,2,-79.9018146354302,40.4566120579776
292975206,22162701,14,2022-10-07T15:21:00,"4600 Block Bayard St Pittsburgh, PA 15213",N,North Oakland,4,CRIM MISCHIEF,3304 Criminal Mischief.,404,8,3,-79.9502386278951,40.4497741578089
292979508,22162822,24,2022-10-07T19:25:00,"4800 Block Interboro Ave Pittsburgh, PA 15207",N,Lincoln Place,4,FALSE ALARMS AGENCIES PUB SAF,4905 False Alarms to Agencies of Public Safety.,3102,5,3,-79.9103728860837,40.3755737662521
292982710,22162896,20,2022-10-07T21:29:00,"Commonwealth Pl & Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,201,6,6,-80.0068051594899,40.4410782570101
292985579,22162993,0,2022-10-07T23:30:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,99,9999 9999 - (Misc. Incident): ,1803,3,5,-79.9937050598573,40.4218022561637
293020435,22154682,0,2022-10-08T14:40:00,"2200 Block Wilson Ave Pittsburgh, PA 15214",N,Perry South,1,99,9994 PFA Service,2614,6,1,-80.0128598614734,40.4654333077022
293022812,22163353,0,2022-10-08T17:00:00,"3500 Block Centralia St Pittsburgh, PA 15204",N,Chartiers City,6,99,8106 Shots Fired,2021,,,,
292788459,22161497,6,2022-10-05T12:50:00,"900 Block Freeport Rd Pittsburgh, PA 15215",Y,Strip District,5,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",203,9,2,-79.8923529450752,40.4861185015656
293721299,22168180,27,2022-10-15T15:00:00,"1700 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9856926634445,40.4496647585935
293737636,22168420,10,2022-10-17T21:48:00,"3000 Block Merwyn Ave Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault.,2018,2,5,-80.0518596858958,40.4572755472928
293739512,22168448,10,2022-10-18T00:38:00,"Friendship Ave & Penn Ave Pittsburgh, PA 15224",Y,Bloomfield,5,SIMPLE ASSAULT,2701 Simple Assault.,903,7,2,-79.9525630845662,40.4661153710777
293741292,22168493,0,2022-10-18T01:45:00,"Hazlett St & East St Pittsburgh, PA 15214",N,Northview Heights,1,99,1543 Driving While Operating Privilege is Suspended or Revoked.,2609,6,1,-80.0051752831944,40.4746448750272
292493383,22159734,99,2022-10-02T10:30:00,"1100 Block Bradish St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1702,3,3,-79.9874478639197,40.4271638930681
292616869,22160590,10,2022-10-03T20:18:00,"Washington Blvd & Highland Dr Pittsburgh, PA 15206",N,Highland Park,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1106,9,2,-79.9082784786417,40.4742241616276
292623664,22160648,1,2022-10-03T23:18:00,"100 Block Maddock Pl Pittsburgh, PA 15222",N,Central Business District,2,CRIMINAL HOMICIDE,2501 Criminal Homicide.,201,,,,
-3394319556,22162562,6,2022-10-05T07:00:00,"300 Block Devonshire St Pittsburgh, PA 15213",N,Shadyside,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,709,8,2,-79.946391887865,40.4535587660827
292973122,22162692,10,2022-10-07T15:50:00,"700 Block Hazelwood Ave Pittsburgh, PA 15217",N,Greenfield,4,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,1517,5,3,-79.9330729845972,40.4197989425339
-3562041236,22162675,0,2022-10-07T14:54:00,"Coast Ave & Fallowfield Ave Pittsburgh, PA 15216",Y,Beechview,6,99,9999 9999 - (Misc. Incident): ,1920,4,5,-80.0236260386368,40.408704400762
293019796,22163305,0,2022-10-08T14:36:00,"400 Block Pennwood Dr Pennhills, PA 15235",N,Outside City,OSC,99,9994 PFA Service,5599,,,,
293021623,22163295,6,2022-10-08T13:30:00,"1700 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,203,7,6,-79.9856926634445,40.4496647585935
293021726,22162447,10,2022-10-07T06:40:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,3,SIMPLE ASSAULT,2701 Simple Assault.,1806,6,6,-79.9960409452176,40.4350395659105
293022442,22163258,6,2022-10-07T17:00:00,"2800 Block Castlegate Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1918,4,5,-80.0245967933248,40.3923987974729
293022506,22163090,5,2022-10-08T05:32:00,"2600 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,2615,6,1,-80.0085176085982,40.4711339361923
293023597,22163363,27,2022-10-08T17:06:00,"600 Block W Warrington Ave Pittsburgh, PA 15226",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1915,3,5,-79.9972070893429,40.4215599781998
293698427,22165788,99,2022-10-08T08:40:00,"1200 Block Mohler St Pittsburgh, PA 15221",N,Homewood North,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1301,9,2,-79.8864602237102,40.4593708354313
293699352,22016714,99,2022-10-02T15:53:00,"1300 Block Preston St Pittsburgh, PA 15205",N,Westwood,6,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,2811,,,,
293711557,22168146,6,2022-10-17T05:30:00,"80 Block Swinburne St Pittsburgh, PA 15213",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,409,,,,
293733724,22168398,0,2022-10-17T20:40:00,"4800 Block Hatfield St Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9093 Indirect Criminal Contempt,901,7,2,-79.9587973393457,40.4766629709996
293779118,22168678,11,2022-10-18T11:40:00,"3900 Block Kleber St Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT BY DECEPTION,3922 Theft by Deception.,2708,1,1,-80.0375085341489,40.4870386478522
293936857,22169252,6,2022-10-19T13:28:00,"30 Block Hillburn St Pittsburgh, PA 15207",Y,Hays,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2705 Recklessly Endangering Another Person. / 607.03 Discharging Firearm or Airgun,3101,5,3,-79.9318790485851,40.3830144265093
293960719,22169284,99,2022-10-19T14:32:00,"300 Block Main St Pittsburgh, PA 15201",Y,Central Lawrenceville,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),902,7,2,-79.9579476679689,40.4673830136992
291750553,22154148,11,2022-09-22T14:00:00,"3600 Block Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,THEFT BY DECEPTION,3922 Theft by Deception.,405,3,3,-79.9574438099624,40.4402724391202
292817506,22161721,99,2022-10-05T20:22:00,"400 Block E Sycamore St Pittsburgh, PA 15211",Y,Mount Washington,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1914,2,5,-80.0118062156913,40.4325631397303
292900888,22162155,15,2022-10-06T16:05:00,"500 Block Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License.,201,6,6,-80.0036330229709,40.4412918601093
292985638,22163041,99,2022-10-08T03:10:00,"1400 Block Locust St Pittsburgh, PA 15219",N,Bluff,2,MENTAL 201/302,9498 302 (Mental),103,6,3,-79.9854587006851,40.4360439740714
293026765,22163481,6,2022-10-08T21:00:00,"200 Block Federal St S Pittsburgh, PA 15212",N,North Shore,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2205,1,6,-80.0039635417819,40.4484213102204
291850066,22154705,11,2022-09-23T09:00:00,"6400 Block Centre Ave Pittsburgh, OH 15206",N,East Liberty,5,CREDIT CARDS,4106 Access Device Fraud,1113,,,,
291887264,22155908,99,2022-09-25T17:08:00,"6500 Block Beacon St Pittsburgh, PA 15217",N,Squirrel Hill South,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1408,5,3,-79.9163893345222,40.4344456767674
291895532,22156067,4,2022-09-26T01:20:00,"W Carson St & Corliss St Pittsburgh, PA 15204",N,Esplen,6,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief. / 2707 Propulsion of Missiles  / 607.03 Discharging Firearm or Airgun,2017,2,5,-80.0393705581688,40.452893742043
291967328,22156404,6,2022-09-26T15:50:00,"600 Block Excelsior St Pittsburgh, PA 15210",N,Allentown,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1803,,,,
291970185,22156417,14,2022-09-26T16:05:00,"60 Block Millbridge St Pittsburgh, PA 15210",Y,Allentown,3,CRIM MISCHIEF,3304 Criminal Mischief.,1803,3,5,-79.9959994178242,40.4223984434227
-3633023479,22156514,6,2022-09-26T07:00:00,"3100 Block Ashlyn St Pittsburgh, PA 15204",Y,Sheraden,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,2814,2,5,-80.0563555218042,40.4560823371904
291983908,22156465,6,2022-09-26T13:40:00,"7300 Block Fleury Way Pittsburgh, PA 15208",N,Homewood South,5,THEFT FROM AUTO,3934 Theft from Vehicle,1303,9,2,-79.8946567412517,40.4554982198742
291985340,22156464,0,2022-09-26T17:08:00,"7800 Block Susquehanna St Pittsburgh, PA 15221",N,Homewood South,5,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1304,9,2,-79.8891618801259,40.4493486243
291999495,22155535,99,2022-09-24T22:20:00,"5600 Block 5th Ave Pittsburgh, PA 15232",N,Squirrel Hill North,4,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1402,8,3,-79.9305434002318,40.4491625217055
292504524,22159968,11,2022-09-30T12:00:00,"600 Block William Penn Pl Pittsburgh, PA 15219",N,Central Business District,2,CREDIT CARDS,4106 Access Device Fraud,201,6,6,-79.9967621340552,40.4411412816935
292740566,22161315,6,2022-10-04T21:00:00,"200 Block General Robinson West St Pittsburgh, PA 15233",N,North Shore,1,THEFT FROM AUTO,3934 Theft from Vehicle,2205,1,6,-80.0054731323716,40.4483810771622
292808738,22161612,11,2022-10-05T00:01:00,"300 Block Rothman St Pittsburgh, PA 15210",N,Arlington,3,IDENTITY THEFT,4120 Identity Theft,1603,3,3,-79.9729013410451,40.4148927446786
292898644,22162139,99,2022-10-06T15:30:00,"300 Block Bausman St Pittsburgh, PA 15210",N,Knoxville,3,LOST PROPERTY,9504 Lost Property,3001,3,5,-79.9931109214736,40.4141356086569
292980554,22162842,0,2022-10-07T19:25:00,"3800 Block Alexis St Pittsburgh, PA 15207",Y,Greenfield,4,99,9998 Overdose Other,1516,,,,
292988455,22163088,6,2022-10-08T05:30:00,"5600 Block Forward Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1414,5,3,-79.9269858254165,40.4275940212749
293714798,22168275,6,2022-10-17T17:03:00,"1900 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1702,,,,
293840159,22168818,27,2022-10-18T16:00:00,"Blvd Of The Allies & Liberty Brg Ramp Pittsburgh, PA 15219",N,Bluff,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,103,,,,
-3530181957,22170801,99,2022-10-22T09:10:00,"1500 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1702,3,3,-79.9833100173741,40.4286928036566
-3477338964,22170823,27,2022-10-22T09:30:00,"1700 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,,,,
294185309,22170929,99,2022-10-22T14:16:00,"1100 Block Highwood St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2715,1,1,-80.0252643858697,40.4683522212454
294190139,22170962,6,2022-10-22T14:56:00,"1600 Block Eben St Pittsburgh, PA 15226",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,1918,,,,
291675033,22153818,99,2022-09-22T00:26:00,"700 Block 2nd Ave Pittsburgh, PA 15219",Y,Bluff,2,FOUND PROPERTY,9489 Found Property,103,6,6,-79.9945910498533,40.4353346704734
291837499,22155142,27,2022-09-24T08:25:00,"1100 Block Grand Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2715,1,1,-80.0275279156142,40.4749864076206
291855440,22155442,14,2022-09-24T19:09:00,"100 Block Hazlett Ter Pittsburgh, PA 15214",Y,Northview Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2609,,,,
291890297,22155993,6,2022-09-25T21:00:00,"700 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",1803,3,5,-79.9954887053187,40.4215189803883
291893476,22156022,6,2022-09-25T22:00:00,"2900 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,1,1,-80.0304048905528,40.4707029348676
291893537,22156059,99,2022-09-25T19:15:00,"Kennebec St & Windsor St Pittsburgh, PA 15217",N,Greenfield,4,LOST PROPERTY,9504 Lost Property,1517,5,3,-79.9293485166231,40.4242481810096
291897302,22156111,4,2022-09-26T03:35:00,"100 Block Travella Blvd Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,AGG-ASSAULT,2702 Aggravated Assault.,1202,,,,
292497829,22159827,4,2022-10-02T13:39:00,"Wood St & Oliver Ave Pittsburgh, PA 15222",Y,Central Business District,2,AGG-ASSAULT,2702 Aggravated Assault. / 3921 Theft by Unlawful Taking or Disposition. / 5104 Resisting Arrest or Other Law Enforcement. / 3925 Receiving Stolen Property.,201,6,6,-79.9999192980735,40.4414562251056
292504776,22159985,17,2022-10-02T13:39:00,Zone 2,N,,2,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
292506391,22159988,99,2022-10-02T19:12:00,"2400 Block Wylie Ave Pittsburgh, PA 15219",N,Middle Hill,2,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),501,6,3,-79.9730907418123,40.4473130049607
292529019,22160138,18,2022-10-03T02:51:00,"Lincoln Ave & Vassar St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3323 Stop Signs and Yield Signs. / 1314 Transfer of Registration.,1202,9,2,-79.8969746748761,40.4678351088856
292673439,22160908,0,2022-10-04T12:30:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9994 PFA Service,305,6,3,-79.9799824053927,40.4435889103074
292820545,22161710,0,2022-10-05T19:40:00,"Chestnut St & S Canal St Pittsburgh, PA 15212",N,North Shore,1,99,9999 9999 - (Misc. Incident): ,2205,1,1,-79.9933356848644,40.4537347400895
293983566,22169466,14,2022-10-19T20:30:00,"100 Block Hazlett St Pittsburgh, PA 15214",N,Northview Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2609,1,1,-80.0016475315907,40.4771220938326
293024980,22163398,29,2022-10-08T18:24:00,"300 Block Walter St Pittsburgh, PA 15210",N,Allentown,3,RUNAWAYS - JUVENILE,029 Missing Juvenile,1803,3,5,-79.9949232724792,40.4198906706557
293026294,22163483,0,2022-10-08T20:45:00,"600 Block Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,601.16 Public Urination And Defecation,201,6,6,-80.0016237646793,40.4417809547139
293026847,22163467,10,2022-10-08T20:25:00,"1100 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,7,6,-79.9938248363844,40.4449489718624
293028646,22163425,23,2022-10-08T19:10:00,"300 Block North Shore Dr Pittsburgh, PA 15212",Y,North Shore,1,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2205,1,1,-80.0096363483307,40.4549103553127
293029520,22163498,22,2022-10-08T21:38:00,"300 Block North Shore Dr Pittsburgh, PA 15212",Y,North Shore,1,PUR/CON/POS/TRAN-INTOX BEVERAG,"6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION",2205,1,1,-80.0096363483307,40.4549103553127
293043629,22157372,26,2022-10-13T09:30:00,"2100 Block Jane St Pittsburgh, PA 15203",Y,South Side Flats,3,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,1609,3,3,-79.9767706901213,40.4264592146796
293051498,22163813,10,2022-10-09T14:42:00,"4300 Block Murray Ave Pittsburgh, PA 15217",Y,Greenfield,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1517,5,3,-79.9290614620162,40.4217786333251
293850834,22168910,18,2022-10-18T18:55:00,"200 Block East Ohio St Pittsburgh, OH 15212",Y,Allegheny Center,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,2204,,,,
293970498,22169349,10,2022-10-19T17:05:00,"2000 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,HARRASSMENT,2709(a) Harassment.,1917,4,5,-80.0160576107444,40.4027057130685
293975806,22169362,6,2022-10-19T07:00:00,"1900 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1917,4,5,-80.0160585948811,40.4040374887942
293997647,22169478,99,2022-10-19T21:00:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1303,9,2,-79.9018146354302,40.4566120579776
294011669,22169549,0,2022-10-20T02:05:00,"Beechwood Blvd & I-376 Ramp Pittsburgh, PA 15217",Y,Greenfield,4,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,1517,,,,
-3629000405,22169693,0,2022-10-20T10:45:00,"2400 Block Noblestown Rd Pittsburgh, PA 15205",N,Oakwood,6,99,9999 9999 - (Misc. Incident): ,2812,2,5,-80.055990623201,40.426891231258
293131543,22164479,14,2022-10-10T18:36:00,"200 Block East Ohio St Pittsburgh, PA 15212",Y,Allegheny Center,1,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s) / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(16) Possession of Controlled Substance,2204,,,,
293147005,22164618,10,2022-10-11T01:23:00,"200 Block 34th St Pittsburgh, PA 15201",Y,Lower Lawrenceville,2,SIMPLE ASSAULT,2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.,603,,,,
293246210,22164740,11,2022-10-11T10:10:00,"4000 Block Penn Ave Pittsburgh, PA 15201",N,Central Lawrenceville,2,IDENTITY THEFT,4120 Identity Theft,902,7,2,-79.9579274529427,40.4651883742036
293276727,22165325,6,2022-10-12T10:09:00,"S 13th St & Muriel St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1702,3,3,-79.9853832615239,40.4301067913111
293302542,22165449,0,2022-10-12T14:01:00,"100 Block Ulysses St Pittsburgh, PA 15211",N,Mount Washington,3,99,9994 PFA Service,1903,2,5,-80.0119156208789,40.4348585435304
293318195,22165537,0,2022-10-12T16:21:00,"1000 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,9994 PFA Service,2902,4,3,-79.9917295313642,40.4059896098746
293337299,22165673,14,2022-10-12T22:23:00,"5th Ave & Dinwiddie St Pittsburgh, PA 15219",N,Bluff,2,CRIM MISCHIEF,3304 Criminal Mischief. / 8106 Shots Fired,103,6,3,-79.9807785023313,40.4383675079078
293421799,22166112,10,2022-10-13T18:20:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,Shadyside,4,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a) Harassment.,706,,,,
293424351,22166187,10,2022-10-13T20:40:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault. / 3928 Unauthorized Use of Automobile and Other Vehicles. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1303,9,2,-79.9018146354302,40.4566120579776
292019701,22156718,10,2022-09-27T03:09:00,"200 Block East Ohio St Pittsburgh, PA 15212",Y,Allegheny Center,1,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 5121 Escape. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 627.02(b)(i) Possessing a small amount of marijuana",2204,,,,
292086976,22153551,99,2022-09-22T18:00:00,"400 Block Suncrest St Pittsburgh, PA 15210",N,Knoxville,3,DRUG INVESTIGATION,9124 Drug Investigation,3001,3,5,-79.9949923486726,40.411189507211
292636114,22160745,10,2022-10-04T05:50:00,"2600 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,HARRASSMENT,2709(a) Harassment.,2615,6,1,-80.0085176085982,40.4711339361923
292722878,22161144,99,2022-10-04T17:00:00,"Shady Ave & Pittock St Pittsburgh, PA 15217",N,Squirrel Hill South,4,FOUND PROPERTY,9489 Found Property,1408,5,3,-79.9203253298074,40.4299859015001
292787491,22161481,0,2022-10-05T13:30:00,"20 Block Southern Ave Pittsburgh, PA 15211",N,Mount Washington,3,99,9993 PFA Service with Weapons Supplement,1914,2,5,-80.0075520901052,40.428887546486
292789390,22161482,0,2022-10-05T13:30:00,"200 Block Southern Ave Pittsburgh, PA 15211",N,Mount Washington,3,99,9993 PFA Service with Weapons Supplement,1914,2,5,-80.0108639068144,40.4243705777301
292804460,22161608,10,2022-10-05T16:30:00,"1400 Block W Carson Trl Pittsburgh, PA 15219",N,South Shore,3,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,1921,3,3,-79.984034293315,40.4286565603557
292951024,22162533,6,2022-10-06T22:00:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",509,6,3,-79.9783201165693,40.4482327410463
292976425,22162744,10,2022-10-07T16:45:00,"34th St & Ligonier St Pittsburgh, PA 15201",Y,Lower Lawrenceville,2,HARRASSMENT,2709 Harassment (Non-Specific),603,7,2,-79.966535501935,40.4620960181492
293023244,22163300,13,2022-10-08T14:55:00,"5600 Block Rippey St Pittsburgh, PA 15206",Y,East Liberty,5,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property.,1115,9,2,-79.9287661107715,40.466615890413
293033403,22163556,27,2022-10-09T00:09:00,"West End Brg & Saw Mill Run Blvd Pittsburgh, PA 15220",N,West End,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2019,2,5,-80.0282028482851,40.4442110934777
291757904,22154216,10,2022-09-22T17:04:00,"3500 Block smallman St Pittsburgh, PA 15201",Y,Lower Lawrenceville,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 6106 Firearms not to be Carried without a License.,603,7,2,-79.9675987449443,40.4645324294823
291844443,22155278,99,2022-09-24T12:42:00,"Market Sq Pittsburgh, PA 15222",N,Central Business District,2,FOUND DRUGS,9017 Found Drugs,201,6,6,-80.0028549265572,40.4409386637364
291849417,22155368,10,2022-09-24T16:00:00,"Roberts St Pittsburgh, PA 15219",N,Crawford-Roberts,2,TERRORISTIC THREATS,2706 Terroristic Threats.,305,6,3,-79.9853083557086,40.4450145852626
291850796,22155349,0,2022-09-24T15:58:00,"200 Block N Aiken Ave Pittsburgh, PA 15206",N,Garfield,5,99,9999 9999 - (Misc. Incident): ,1114,7,2,-79.9376087390645,40.4633274721189
